一	y ī
一神教	y ī sh én j iào
一秉大公	y ī b ǐng d à g ōng
一种	y ī zh ǒng
一空依傍	y ī k ōng y ī b àng
一窍不通	y ī q iào b ù t ōng
一窝风	y ī w ō f ēng
一竿子插到底	y ī g ān z i ch ā d ào d ǐ
一笑了之	y ī x iào l iǎo zh ī
一笑了事	y ī x iào l e sh ì
一笔不苟	y ī b ǐ b ù g ǒu
一笔勾断	y ī b ǐ g ōu d uàn
一笔勾消	y ī b ǐ g ōu x iāo
一笔勾销	y ī b ǐ g ōu x iāo
一笔带过	y ī b ǐ d ài g uò
一笔抹摋	y ī b ǐ m ò s à
一笔抹杀	y ī b ǐ m ǒ sh ā
一笔抹煞	y ī b ǐ m ǒ sh ā
一等奖	y ì d ěng j iǎng
一筹莫展	y ī ch óu m ò zh ǎn
一箭上垛	y ī j iàn sh àng d uò
一箭之地	y ī j iàn zh ī d ì
一篇文章	y ì p iān w én zh āng
一米线	y ī m ǐ x iàn
一系列	y ī x ì l iè
一索得男	y ī s uǒ d é n án
一纸空文	y ī zh ǐ k ōng w én
一线之隔	y í x iàn zh ī g é
一缘一会	y ī y uán y ī h uì
一网尽扫	y ī w ǎng j ìn s ǎo
一网打尽	y ī w ǎng d ǎ j ìn
一者	y ī zh ě
一而再	y ì ér z ài
一肚子	y ī d ǔ z i
一股劲	y ì g ǔ j ìn
一股劲儿	y ī g ǔ j ìn er
一肢一节	y ī zh ī y ī j ié
一肢半节	y ī zh ī b àn j ié
一脉同气	y ī m ài t óng q ì
一脉相传	y ī m ài x iāng ch uán
一脉相承	y ī m ài x iāng ch éng
一脉相通	y ī m ài x iāng t ōng
一脉香烟	y ī m ài x iāng y ān
一脚不移	y ī j iǎo b ù y í
一臂之力	y ī b ì zh ī l ì
一致	y í zh ì
一般	y ì b ān
一般化	y ì b ān h uà
一般见识	y ī b ān j iàn sh í
一艘船	y ì s ōu ch uán
一苇可航	y ī w ěi k ě h áng
一落千丈	y ī l uò q iān zh àng
一虎不河	y ī h ǔ b ù h é
一蛇两头	y ī sh é l iǎng t óu
一蟹不如一蟹	y ī x iè b ù r ú y ī x iè
一行	y ī x íng
一行人	y ī x íng r én
一行作吏	y ī x íng z uò l ì
一褱而论	y ī h uái ér l ùn
一见了然	y ī j iàn l iǎo r án
一见倾心	y ī j iàn q īng x īn
一见如故	y ī j iàn r ú g ù
一见如旧	y ī j iàn r ú j iù
一见钟情	y ī j iàn zh ōng q íng
一视同仁	y ī sh ì t óng r én
一览无遗	y ì l ǎn w ú y í
一觉	y ī j iào
一角	y ī j iǎo
一触即发	y ī ch ù j í f ā
一触即溃	y ī ch ù j í k uì
一言一行	y ī y án y ī x íng
一言不发	y ī y án b ù f ā
一言两语	y ī y án l iǎng y ǔ
一言丧邦	y ī y án s àng b āng
一言中的	y ì y án zh òng d ì
一言为定	y ī y án w éi d ìng
一言九鼎	y ì y án j iǔ d ǐng
一言兴邦	y ī y án x īng b āng
一言半句	y ī y án b àn j ù
一言半语	y ī y án b àn y ǔ
一言难尽	y ī y án n án j ìn
一语中人	y ī y ǔ zh òng r én
一语中的	y ī y ǔ zh òng d ì
一语双关	y ī y ǔ sh uāng g uān
一语破的	y ī y ǔ p ò d ì
一语道破	y ī y ǔ d ào p ò
一诺千金	y í n uò q iān j īn
一谷不升	y ī g ǔ b ù sh ēng
一谷不登	y ī g ǔ b ù d ēng
一败涂地	y ī b ài t ú d ì
一贫如洗	y ī p ín r ú x ǐ
一贯	y í g uàn
一贯性	y í g uàn x ìng
一走了之	y ī z ǒu l iǎo zh ī
一起	y ì q ǐ
一跌不振	y ī d iē b ù zh èn
一路平安	y í l ù p íng ān
一路神祇	y ī l ù sh én q í
一路顺风	y ī l ù sh ùn f ēng
一路风尘	y ī l ù f ēng ch én
一路风清	y ī l ù f ēng q īng
一蹴可几	y ī c ù k ě j ǐ
一蹴而就	y í c ù ér j iù
一蹴而得	y ī c ù ér d é
一蹶不兴	y ī j uě b ù x īng
一蹶不振	y ī j ué b ù zh èn
一身两头	y ī sh ēn l iǎng t óu
一身二任	y ī sh ēn èr r èn
一身而二任	y ī sh ēn ér èr r èn
一身都是胆	y ī sh ēn d ōu sh ì d ǎn
一轨同风	y ī g uǐ t óng f ēng
一转眼	y ī zh uǎn y ǎn
一轰而散	y ī h ōng ér s àn
一辞同轨	y ī c í t óng g uǐ
一辞莫赞	y ī c í m ò z àn
一边倒	y ī b iān d ǎo
一迎一和	y ī y íng y ī h é
一还一报	y ī h uán y ī b ào
一连气儿	y ī l ián q ì er
一退六二五	y ī t uì l iù èr w ǔ
一通	y í t òng
一邱之貉	y ī q iū zh ī h é
一醉解千愁	y ī z uì j iě q iān ch óu
一重一掩	y ī ch óng y ī y ǎn
一针见血	y ī zh ēn j iàn x iě
一钱不值	y ī q ián b ù zh í
一钱不名	y ī q ián b ù m íng
一钱不落虚空地	y ī q ián b ù l uò x ū k ōng d ì
一锅粥	y ī g uō zh ōu
一长一短	y ī ch áng y ī d uǎn
一长两短	y ī ch áng l iǎng d uǎn
一长串	y ī ch áng ch uàn
一长二短	y ī ch áng èr d uǎn
一长半短	y ī ch áng b àn d uǎn
一门同气	y ī m én t óng q ì
一门心思	y ī m én x īn s ī
一问三不知	y ī w èn s ān b ù zh ī
一阵风	y ī zh èn f ēng
一隅	y ì y ú
一隅之地	y ī y ú zh ī d ì
一隅之见	y ī y ú zh ī j iàn
一隅之说	y ī y ú zh ī sh uō
一霎那	y ī sh à n à
一面	y í m iàn
一面之缘	y í m iàn zh ī y uán
一面之识	y ī m iàn zh ī sh í
一面倒	y í m iàn d ǎo
一鞭一条痕	y ī b iān y ī t iáo h én
一鞭先著	y ī b iān x iān zh uó
一风吹	y ī f ēng ch uī
一飞冲天	y ī f ēi ch ōng t iān
一饭三吐哺	y ī f àn s ān t ǔ b ǔ
一马当先	y ī m ǎ d āng x iān
一驮粮	y í d uò l iáng
一骨碌	y ī g ū l ù
一鳞一爪	y ī l ín y ī zh ǎo
一鳞半爪	y ī l ín b àn zh ǎo
一鳞片爪	y ī l ín p iàn zh ǎo
一鳞片甲	y ī l ín p iàn j iǎ
一鸣惊人	y ì m íng j īng r én
一齐	y ī q í
一齐众楚	y ī q í zh òng ch ǔ
一龙一蛇	y ī l óng y ī sh é
丁	d īng
丁一卯二	d īng y ī m ǎo èr
丁一确二	d īng y ī q uè èr
丁丁	d īng d īng
丁丁当当	d īng d īng d āng d āng
丁丑	d īng ch ǒu
丁东	d īng d ōng
丁亥	d īng h ài
丁公凿井	d īng g ōng z áo j ǐng
丁公藤	d īng g ōng t éng
丁冬	d īng d ōng
丁卯	d īng m ǎo
丁坝	d īng b à
