一	y ī
摽	b iāo
摽梅之年	b iào m éi zh ī n ián
摾	j iàng
摿	y áo
撀	g òu
撁	q iān
撂	l iào
撂挑子	l iào t iāo z i
撃	j ī
撄	y īng
撅	j uē
撅嘴	j uē z uǐ
撅坑撅堑	j ué k ēng j ué q iàn
撅天扑地	j uē t iān p ū d ì
撆	p iē
撇	p iē
撇呆打堕	p iě d āi d ǎ d uò
撇嘴	p iě z uǐ
撇开	p iē k āi
撇弃	p iē q ì
撇条	p iě t iáo
撈	l āo
撉	d ūn
撊	x iàn
撋	r uán
撌	g uì
撍	z ǎn
撎	y ì
撏	x ián
撐	ch ēng
撑	ch ēng
撑住	ch ēng zh ù
撑场面	ch ēng ch ǎng m iàn
撑天拄地	ch ēng t iān zh ǔ d ì
撑天柱地	ch ēng t iān zh ù d ì
撑杆	ch ēng g ān
撑竿跳高	ch ēng g ān t iào g āo
撑肠拄肚	ch ēng ch áng zh ǔ d ù
撑霆裂月	ch ēng t íng l iè y uè
撒	s ā
撒丫子	s ā y ā z ǐ
撒刁	s ā d iāo
撒呓挣	s ā y ì zh ēng
撒娇	s ā j iāo
撒娇卖俏	s ā j iāo m ài q iào
撒娇撒痴	s ā j iāo s ā ch ī
撒布	s ǎ b ù
撒开	s ā k āi
撒手	s ā sh ǒu
撒手锏	s ā sh ǒu j iǎn
撒拉	s ā l ā
撒拉族	s ā l ā z ú
撒播	s ǎ b ō
撒施	s ǎ sh ī
撒旦	s ā d àn
撒欢	s ā h uān
撒欢儿	s ā h uān ér
撒气	s ā q ì
撒水拿鱼	s ā sh uǐ n á y ú
撒泼	s ā p ō
撒泼打滚	s ā p ō d ǎ g ǔn
撒泼放刁	s ā p ō f àng d iāo
撒痴撒娇	s ā ch ī s ā j iāo
撒种	s ǎ zh ǒng
撒科打诨	s ā k ē d ǎ h ùn
撒腿	s ā t uǐ
撒落	s ǎ l uò
撒诈捣虚	s ā zh à d ǎo x ū
撒谎	s ā h uǎng
撒豆成兵	s ǎ d òu ch éng b īng
撒赖	s ā l ài
撒野	s ā y ě
撒骚放屁	s ā s āo f àng p ì
撒鸭子	s ā y ā z ǐ
撓	n áo
撔	h òng
撕	s ī
撕心裂肺	s ī x īn l iè f èi
撕打	s ī d ǎ
撕票	s ī p iào
撕肝裂肺	s ī g ān l iè f èi
撕裂	s ī l iè
撖	h àn
撗	g uàng
撘	d ā
撙	z ǔn
撙节	z ǔn j ié
撚	n iǎn
撛	l ǐn
撜	zh ěng
撝	h uī
撞	zh uàng
撞坏	zh uàng h uài
撞墙	zh uàng q iáng
撞头搕脑	zh uàng t óu k ē n ǎo
撞头磕脑	zh uàng t óu k ē n ǎo
撞府冲州	zh uàng f ǔ ch ōng zh ōu
撞见	zh uàng j iàn
撞车	zh uàng ch ē
撞钟	zh uàng zh ōng
撞阵冲军	zh uàng zh èn ch ōng j ūn
撟	j iǎo
撠	j ǐ
撡	c āo
撢	d ǎn
撣	d ǎn
撤	ch è
撤佃	ch è d iàn
撤免	ch è m iǎn
撤差	ch è ch āi
撤资	ch è z ī
撤防	ch è f áng
撥	b ō
撦	ch ě
撧	j uē
撨	f ǔ
撩	l iāo
撩乱	l iáo l uàn
撩云拨雨	l iáo y ún b ō y ǔ
撩人	l iáo r én
撩动	l iáo d òng
撩开	l iáo k āi
撩拨	l iáo b ō
撩火加油	l iáo h uǒ j iā y óu
撩蜂剔蝎	l iáo f ēng t ī x iē
撩蜂吃螫	l iáo f ēng ch ī sh ì
撩逗	l iáo d òu
撪	b èn
撫	f ǔ
撬	q iào
撬杠	q iào g àng
撬棍	q iào g ùn
播	b ō
播发	b ō f ā
播弄	b ō n òng
播弄是非	b ō n òng sh ì f ēi
播扬	b ō y áng
播撒	b ō s ǎ
播散	b ō s àn
播种	b ō zh ǒng
播种机	b ō zh ǒng j ī
播穅眯目	b ō k āng m ǐ m ù
播糠眯目	b ō k āng m ǐ m ù
播音员	b ō y īn y uán
播音室	b ō y īn sh ì
撮	c uō
撮合	c uō h é
撮土焚香	c uō t ǔ f én x iāng
撮弄	c uō n òng
撮盐入水	c uō y án r ù sh uǐ
撮盐入火	c uō y án r ù h uǒ
撮科打哄	c uō k ē d ǎ h òng
撮科打閧	c uō k ē d ǎ h òng
撮箕	c uō j ī
撮要	c uō y ào
撯	zh uó
撰	zh uàn
撰著	zh uàn zh ù
撱	w ěi
撲	p ū
撳	q ìn
撴	d ūn
撵	n iǎn
撶	h uá
撷	x ié
撷英	x ié y īng
撸	l ū
撹	j iǎo
撺	c uān
撺弄	c uān n òng
撺掇	c uān d uō
撻	t à
撼	h àn
撼人心魄	h àn r én x īn p ò
撼地摇天	h àn d ì y áo t iān
撼天动地	h àn t iān d òng d ì
撼天震地	h àn t iān zh èn d ì
撽	q iào
撾	w ō
撿	j iǎn
擀	g ǎn
擁	y ōng
擂	l éi
擂主	l èi zh ǔ
擂台	l èi t ái
擂天倒地	l éi t iān d ǎo d ì
擂鼓	l éi g ǔ
擂鼓筛锣	l éi g ǔ sh āi l uó
擂鼓鸣金	l éi g ǔ m íng j īn
擃	n ǎng
擄	l ǔ
擅	sh àn
擅入	sh àn r ù
擅场	sh àn ch ǎng
擅长	sh àn ch áng
擆	zh uó
擇	z é
擈	p ū
擉	ch uò
擊	j ī
擋	d ǎng
擌	s è
操	c āo
操之过切	c āo zh ī g uò q iè
操之过急	c āo zh ī g uò j í
操之过激	c āo zh ī g uò j ī
操之过蹙	c āo zh ī g uò c ù
操作台	c āo z uò t ái
操刀	c āo d āo
操切	c āo q iè
操场	c āo ch ǎng
操奇计赢	c āo q í j ì y íng
操奇逐赢	c āo q í zh ú y íng
操戈同室	c āo g ē t óng sh ì
操揉磨治	c āo r óu m ó zh ì
操琴	c āo q ín
操纵	c āo z òng
操纵自如	c āo z òng z ì r ú
操行	c āo x íng
操赢致奇	c āo y íng zh ì q í
操身行世	c āo sh ēn x íng sh ì
擎	q íng
擏	q íng
擐	h uàn
擑	j iē
擒	q ín
擒奸擿伏	q ín j iān t ī f ú
擒奸讨暴	q ín j iān t ǎo b ào
擒拿	q ín n á
擒敌	q ín d í
擒贼先擒王	q ín z éi x iān q ín w áng
擒贼擒王	q ín z éi q ín w áng
擓	k uǎi
擔	d ān
擕	x ié
擖	k ā
擗	p ǐ
擗踊拊心	p ǐ y ǒng f ǔ x īn
擘	b āi
擘两分星	b ò l iǎng f ēn x īng
擘划	b ò h uà
擘画	b ò h uà
擘肌分理	b ò j ī f ēn l ǐ
擙	ào
據	j ù
擛	y è
擜	è
擝	m ēng
擞	s ǒu
擟	m í
擠	j ǐ
擡	t ái
擢	zh uó
擢发莫数	zh uó f à m ò sh ǔ
擢发难数	zh uó f à n án sh ǔ
擢用	zh uó y òng
擢筋剥肤	zh uó j īn b ō f ū
擢筋割骨	zh uó j īn g ē g ǔ
擣	d ǎo
擤	x ǐng
擥	l ǎn
擦	c ā
擦拳抹掌	c ā q uán m ò zh ǎng
擦拳磨掌	c ā q uán m ó zh ǎng
擦掌磨拳	c ā zh ǎng m ó q uán
擦洗	c ā x ǐ
擦背	c ā b èi
擦脂抹粉	c ā zh ī m ǒ f ěn
擦边	c ā b iān
擧	j ǔ
擨	y é
擩	r ǔ
擪	y è
擫	y è
擬	n ǐ
擭	w ò
擮	j ié
擯	b ìn
擰	n íng
擱	g ē
擲	zh ì
擳	zh ì
擴	k uò
擵	m ó
擶	j iàn
擷	x ié
擸	l iè
擹	t ān
擺	b ǎi
擻	s ǒu
擼	l ǔ
擽	l üè
擾	r ǎo
擿	t ī
擿伏发奸	t ī f ú f ā j iān
擿伏发隐	t ī f ú f ā y ǐn
擿埴索涂	zh āi zh í s uǒ t ú
擿埴索途	zh āi zh í s uǒ t ú
擿奸发伏	t ī j iān f ā f ú
擿植索涂	zh āi zh í s uǒ t ú
攀	p ān
攀亲	p ān q īn
攀供	p ān g òng
攀折	p ān zh é
攀枝花	p ān zh ī h uā
攀枝花市	p ān zh ī h uā sh ì
攀花折柳	p ān h uā zh é l iǔ
攀藤揽葛	p ān t éng l ǎn g ě
攀藤附葛	p ān t éng f ù g ě
攀蟾折桂	p ān ch án sh é g uì
攀车卧辙	p ān ch ē w ò zh é
攀高枝儿	p ān g āo zh ī ér
攀高结贵	p ān g āo j ié g uì
攀龙附风	p ān l óng f ù f ēng
攁	y ǎng
攂	l èi
攃	c ā
攄	sh ū
攅	z ǎn
攆	n iǎn
攇	x iǎn
攈	j ùn
攉	h uō
攊	l ì
攋	l à
攌	h uǎn
攍	y íng
攎	l ú
攏	l ǒng
攐	q iān
攑	q iān
攒	z ǎn
攒三聚五	c uán s ān j ù w ǔ
攒三集五	c uán s ān j í w ǔ
攒动	c uán d òng
攒射	c uán sh è
攒攒	z ǎn z ǎn
攒盒	c uán h é
攒眉	c uán m éi
攒眉苦脸	z ǎn m éi k ǔ l iǎn
攒眉蹙额	c uán m éi c ù é
攒竹	z ǎn zh ú
攒聚	c uán j ù
攒钱	z ǎn q ián
攒锋聚镝	c uán f ēng j ù d í
攒集	c uán j í
攒零合整	c uán l íng h é zh ěng
攓	q iān
攔	l án
攕	x iān
攖	y īng
攗	m éi
攘	r ǎng
攘外安内	r ǎng w ài ān n èi
攘肌及骨	r ǎng j ī j í g ǔ
攘臂	r ǎng b ì
攘臂一呼	r ǎng b ì y ī h ū
攙	ch ān
攚	w ěng
攛	c uān
攜	x ié
攝	sh è
攞	l uó
攟	j ùn
攠	m í
攡	ch ī
攢	z ǎn
攣	l uán
攤	t ān
攥	z uàn
攦	l ì
攧	d iān
攧扑不破	d iān p ū b ù p ò
攨	w ā
攩	d ǎng
攪	j iǎo
攫	j ué
攫为己有	j ué w éi j ǐ y ǒu
攫金不见人	j ué j īn b ù j iàn r én
攬	l ǎn
攭	l ì
攮	n ǎng
支	zh ī
支会	zh ī h uì
支分族解	zh ī f ēn z ú j iě
支分节解	zh ī f ēn j ié j iě
支助	zh ī zh ù
支吾	zh ī w ú
支吾其词	zh ī w ú q í c í
支委	zh ī w ěi
支委会	zh ī w ěi h uì
支局	zh ī j ú
支差	zh ī ch āi
支应	zh ī y ìng
支招儿	zh ī zh āo er
支支吾吾	zh ī zh ī w ú w ú
支数	zh ī sh ù
支棱	zh ī l éng
支渠	zh ī q ú
支着	zh ī zh āo
支着儿	zh ī zh āo ér
支票	zh ī p iào
支策据梧	zh ī c è j ù w ú
支纷节解	zh ī f ēn j ié j iě
支脉	zh ī m ài
支解	zh ī j iě
支那	zh ī n à
攰	g uì
攱	g uǐ
攲	q ī
攳	x ún
攴	p ū
攵	p ū
收	sh ōu
收割机	sh ōu g ē j ī
收发	sh ōu f ā
收因种果	sh ōu y īn zh ǒng g uǒ
收因结果	sh ōu y īn j ié g uǒ
收园结果	sh ōu y uán j ié g uǒ
收场	sh ōu ch ǎng
收尾	sh ōu w ěi
收归	sh ōu g uī
收拾	sh ōu sh í
收据	sh ōu j ù
收摊儿	sh ōu t ān er
收旗卷伞	sh ōu q í j uàn s ǎn
收服	sh ōu f ú
收条	sh ōu t iáo
收款	sh ōu k uǎn
收款机	sh ōu k uǎn j ī
收煞	sh ōu sh ā
收率	sh ōu l ǜ
收监	sh ōu j iān
收看	sh ōu k àn
收离纠散	sh ōu l í j iū s àn
收离聚散	sh ōu l í j ù s àn
收租	sh ōu z ū
收缘结果	sh ōu y uán j ié g uǒ
收缩	sh ōu s uō
收缴	sh ōu j iǎo
收藏	sh ōu c áng
收藏家	sh ōu c áng j iā
收账	sh ōu zh àng
收起来	sh ōu q ǐ l ái
收车	sh ōu ch ē
收转	sh ōu zh uǎn
收载	sh ōu z ǎi
收银员	sh ōu y ín y uán
收锣罢鼓	sh ōu l uó b à g ǔ
收风	sh ōu f ēng
攷	k ǎo
攸	y ōu
改	g ǎi
改为	g ǎi w éi
改产	g ǎi ch ǎn
改任	g ǎi r èn
改俗迁风	g ǎi s ú q iān f ēng
改变心意	g ǎi b iàn x īn y ì
改口沓舌	g ǎi k ǒu t à sh é
改向	g ǎi x iàng
改型	g ǎi x íng
改天换地	g ǎi t iān h uàn d ì
改头换尾	g ǎi t óu h uàn w ěi
改头换面	g ǎi t óu h uàn m iàn
改姓	g ǎi x ìng
改姓更名	g ǎi x ìng g ēng m íng
改张易调	g ǎi zh āng y ì d iào
改弦易调	g ǎi x ián y ì d iào
改弦更张	g ǎi x ián g ēng zh āng
改恶为善	g ǎi è w éi sh àn
改恶从善	g ǎi è c óng sh àn
改恶向善	g ǎi è x iàng sh àn
改恶行善	g ǎi è x íng sh àn
改换头面	g ǎi h uàn t óu m iàn
改换家门	g ǎi h uàn j iā m én
改操易节	g ǎi c āo y ì j ié
改政移风	g ǎi zh èng y í f ēng
改曲易调	g ǎi q ǔ y ì d iào
改朝换代	g ǎi ch áo h uàn d ài
改朝换姓	g ǎi ch áo h uàn x ìng
改期	g ǎi q ī
改柯易叶	g ǎi k ē y ì y è
改柯易节	g ǎi k ē y ì j ié
改正	g ǎi zh èng
改玉改行	g ǎi y ù g ǎi x íng
改称	g ǎi ch ēng
改而更张	g ǎi ér g èng zh āng
改节易操	g ǎi j ié y ì c āo
改行	g ǎi h áng
改行为善	g ǎi x íng w éi sh àn
改行从善	g ǎi x íng c óng sh àn
改行自新	g ǎi x íng z ì x īn
改行迁善	g ǎi x íng q iān sh àn
改观	g ǎi g uān
改调	g ǎi d iào
改过	g ǎi g uò
改过不吝	g ǎi g uò b ù l ìn
改过从善	g ǎi g uò c óng sh àn
改过作新	g ǎi g uò z uò x īn
改过自新	g ǎi g uò z ì x īn
改过迁善	g ǎi g uò q iān sh àn
改邪归正	g ǎi x ié g uī zh èng
攺	y ǐ
攻	g ōng
攻其不备	g ōng q í b ù b èi
攻其无备	g ōng q í w ú b èi
攻击行为	g ōng j ī x íng w éi
攻占	g ōng zh àn
攻城掠地	g ōng ch éng l üè d ì
攻城略地	g ōng ch éng l üè d ì
攻守同盟	g ōng sh ǒu t óng m éng
攻心为上	g ōng x īn w èi sh àng
攻心扼吭	g ōng x īn è h áng
攻打	g ōng d ǎ
攻擂	g ōng l éi
攻无不克	g ōng w ú b ù k è
攻苦食俭	g ōng k ǔ sh í j iǎn
攻苦食啖	g ōng k ǔ sh í d àn
攻苦食淡	g ōng k ǔ sh í d àn
攻读	g ōng d ú
攻过箴阙	g ōng g uò zh ēn q uè
攼	g ān
攽	b ān
放	f àng
放任	f àng r èn
放任自流	f àng r èn z ì l iú
放倒	f àng d ǎo
放假	f àng j ià
放僻淫佚	f àng p ì y ín y ì
放僻邪侈	f àng p ì x ié ch ǐ
放冷风	f àng l ěng f ēng
放刁把滥	f àng d iāo b ǎ l àn
放刁撒泼	f àng d iāo s ā p ō
放大	f àng d à
放大器	f àng d à q ì
放大炮	f àng d à p ào
放大率	f àng d à l ǜ
放大纸	f àng d à zh ǐ
放大镜	f àng d à j ìng
放射	f àng sh è
放射形	f àng sh è x íng
放射性	f àng sh è x ìng
放射性元素	f àng sh è x ìng y uán s ù
放射性同位素	f àng sh è x ìng t óng w èi s ù
放射疗法	f àng sh è l iáo f ǎ
放射病	f àng sh è b ìng
放射线	f àng sh è x iàn
放屁添风	f àng p ì t iān f ēng
放心解体	f àng x īn j iě t ǐ
放排	f àng p ái
放散	f àng s àn
放榜	f àng b ǎng
放歌纵酒	f àng g ē z òng j iǔ
放毒	f àng d ú
放泼撒豪	f àng p ō s ā h áo
放活	f àng h uó
放浪不拘	f àng l àng b ù j ū
放浪不羁	f àng l àng b ù j ī
放浪无拘	f àng l àng w ú j ū
放炮	f àng p ào
放牛娃	f àng n iú w á
放私	f àng s ī
放空	f àng k ōng
放空气	f àng k ōng q ì
放空炮	f àng k ōng p ào
放纵	f àng z òng
放纵不拘	f àng z òng b ù j ū
放纵不羁	f àng z òng b ù j ī
放纵驰荡	f àng z òng ch í d àng
放荡不羁	f àng d àng b ù j ī
放血	f àng x iě
放行	f àng x íng
放言高论	f àng y án g āo l ùn
放诞不拘	f àng d àn b ù j ū
放诞不羁	f àng d àn b ù j ī
放诞风流	f àng d àn f ēng l iú
放辟淫侈	f àng p ì y ín ch ǐ
放辟邪侈	f àng p ì x ié ch ǐ
放达不羁	f àng d á b ù j ī
放过	f àng g uò
放还	f àng h uán
放量	f àng l iàng
放长线钓大鱼	f àng ch áng x iàn d iào d à y ú
放风	f àng f ēng
放马华阳	f àng m ǎ h uá y áng
放马后炮	f àng m ǎ h òu p ào
政	zh èng
政令	zh èng l ìng
政令不一	zh èng l ìng b ù y ī
政企	zh èng q ǐ
政体	zh èng t ǐ
政委	zh èng w ěi
政教	zh èng j iào
政教合一	zh èng j iào h é y ī
政治体制改革	zh èng zh ì t ǐ zh ì g ǎi g é
政治协商会议	zh èng zh ì x ié sh āng h uì y ì
政治地理学	zh èng zh ì d ì l ǐ x ué
政治委员	zh èng zh ì w ěi y uán
政治家	zh èng zh ì j iā
政治指导员	zh èng zh ì zh ǐ d ǎo y uán
政治文明	zh èng zh ì w én m íng
政治经济学	zh èng zh ì j īng j ì x ué
政治避难	zh èng zh ì b ì n àn
政清人和	zh èng q īng r én h é
政纪	zh èng j ì
政要	zh èng y ào
政见	zh èng j iàn
政论	zh èng l ùn
政论家	zh èng l ùn j iā
政通人和	zh èng t ōng r én h é
政风	zh èng f ēng
敀	p ò
敁	d iān
敂	k òu
敃	m ǐn
敄	w ù
故	g ù
故事片	g ù sh ì p iàn
故伎	g ù j ì
故伎重演	g ù j ì ch óng y ǎn
故土难离	g ù t ǔ n án l í
故地	g ù d ì
故家乔木	g ù j iā q iáo m ù
故弄玄虚	g ù n òng x uán x ū
故弄虚玄	g ù n òng x ū x uán
故态复还	g ù t ài f ù h uán
故技重演	g ù j ì ch óng y ǎn
故旧不弃	g ù j iù b ù q ì
故甚其词	g ù sh èn q í c í
故知	g ù zh ī
故纵	g ù z òng
故都	g ù d ū
敆	h é
敇	c è
效	x iào
效应	x iào y ìng
效死疆场	x iào s ǐ j iāng ch ǎng
效率	x iào l ǜ
效益工资	x iào y ì g ōng z ī
效能	x iào n éng
敉	m ǐ
敊	ch ù
敋	g é
敌	d í
敌不可假	d í b ù k ě j iǎ
敌不可纵	d í b ù k ě z òng
敌力角气	d í l ì j iǎo q ì
敌区	d í q ū
敌占区	d í zh àn q ū
敌友	d í y ǒu
敌台	d í t ái
敌境	d í j ìng
敌忾	d í k ài
敌忾同仇	d í k ài t óng ch óu
敌王所忾	d í w áng s uǒ k ài
敍	x ù
敎	j iào
敏	m ǐn
敐	ch én
救	j iù
救世济民	j iù sh ì j ì m ín
救亡图存	j iù w áng t ú c ún
救寒莫如重裘	j iù h án m ò r ú ch óng q iú
救济金	j iù j ì j īn
救火拯溺	j iù h uǒ zh ěng n ì
救焚拯溺	j iù f én zh ěng n ì
救燎助薪	j iù l iáo zh ù x īn
救苦救难	j iù k ǔ j iù n àn
救过不暇	j iù g uò b ù x iá
救过不给	j iù g uò b ù g ěi
救过不赡	j iù g uò b ù sh àn
救过补阙	j iù g uò b ǔ q uē
救险	j iù x iǎn
救难解危	j iù n án j iě w ēi
救饥拯溺	j iù j ī zh ěng n ì
敒	sh ēn
敓	d uó
敔	y ǔ
敕	ch ì
敖	áo
敖不可长	ào b ù k ě zh ǎng
敗	b ài
敘	x ù
教	j iào
教一识百	j iāo y ī sh í b ǎi
教中文	j iāo zh ōng w én
教书	j iāo sh ū
教亦多术	j iào y ì d uō sh ù
教学相长	j iào x ué x iāng zh ǎng
教导有方	j iào d ǎo y ǒu f āng
教无常师	j iào w ú ch áng sh ī
教旨	j iào zh ǐ
教民	j iào m ín
教法	j iào f ǎ
教猱升木	j iāo n áo sh ēng m ù
教理	j iào l ǐ
教研	j iào y án
教给	j iāo g ěi
教育经济学	j iào y ù j īng j ì x ué
教辅	j iào f ǔ
教音乐	j iāo y īn y uè
敚	d uó
敛	l iǎn
敛声屏息	l iǎn sh ēng b ǐng x ī
敛声屏气	l iǎn sh ēng b ǐng q ì
敛容屏气	l iǎn r óng b ǐng q ì
敛手屏足	l iǎn sh ǒu p íng z ú
敛手待毙	l iǎn sh ǒu d ài b ì
敛色屏气	l iǎn s è b ǐng q ì
敛骨吹魂	l iǎn g ǔ ch uī h ún
敜	n iè
敝	b ì
敝帷不弃	b ì w éi b ù q ì
敝盖不弃	b ì g ài b ù q ì
敝綈恶粟	b ì t ì è s ù
敝绨恶粟	b ì t í è s ù
敝衣粝食	b ì y ī l ì sh í
敝鼓丧豚	b ì g ǔ s àng t ún
敞	ch ǎng
敞篷	ch ǎng p éng
敞篷车	ch ǎng p éng ch ē
敞胸露怀	ch ǎng x iōng l ù h uái
敞车	ch ǎng ch ē
敟	d iǎn
敠	d uō
敡	y ì
敢	g ǎn
敢不承命	g ǎn b ù ch éng m ìng
敢为敢做	g ǎn w éi g ǎn z uò
敢作敢为	g ǎn z uò g ǎn w éi
敢作敢当	g ǎn z uò g ǎn d āng
敢勇当先	g ǎn y ǒng d āng x iān
敢干	g ǎn g àn
敢当	g ǎn d āng
敢怒而不敢言	g ǎn n ù ér b ù g ǎn y án
敢怨而不敢言	g ǎn y uàn ér b ù g ǎn y án
敢想	g ǎn x iǎng
敢问	g ǎn w èn
散	s àn
散乱	s ǎn l uàn
散亡	s àn w áng
散件	s ǎn j iàn
散伙	s àn h uǒ
散会	s àn h uì
散伤丑害	s àn sh āng ch ǒu h ài
散体	s ǎn t ǐ
散佚	s àn y ì
散光	s ǎn g uāng
散兵	s ǎn b īng
散兵游勇	s ǎn b īng y óu y ǒng
散剂	s ǎn j ì
散发	s àn f à
散场	s àn ch ǎng
散失	s àn sh ī
散学	s àn x ué
散射	s ǎn sh è
散居	s ǎn j ū
散工	s ǎn g ōng
散布	s àn b ù
散带衡门	s àn d ài h éng m én
散席	s àn x í
散座	s ǎn z uò
散开	s àn k āi
散心	s àn x īn
散戏	s àn x ì
散户	s ǎn h ù
散摊子	s àn t ān z i
散播	s àn b ō
散放	s àn f àng
散文	s ǎn w én
散文诗	s ǎn w én sh ī
散曲	s ǎn q ǔ
散板	s ǎn b ǎn
散架	s ǎn j ià
散步	s àn b ù
散水	s àn sh uǐ
散沙	s ǎn sh ā
散漫	s ǎn m àn
散灰扃户	s àn h uī j iōng h ù
散热器	s àn r è q ì
散碎	s ǎn s uì
散置	s àn zh ì
散落	s àn l uò
散装	s ǎn zh uāng
散见	s ǎn j iàn
散言碎语	s ǎn y án s uì y ǔ
散记	s ǎn j ì
散钱	s àn q ián
散闷	s àn m èn
散阵投巢	s àn zh èn t óu ch áo
散马休牛	s àn m ǎ x iū n iú
敤	k ě
敥	y àn
敦	d ūn
敦世厉俗	d ūn sh ì l ì s ú
敦促	d ūn c ù
敦劝	d ūn q uàn
敦化	d ūn h uà
敦厚	d ūn h òu
敦实	d ūn sh í
敦本务实	d ūn b ěn w ù sh í
敦朴	d ūn p iáo
敦煌	d ūn h uáng
敦煌石窟	d ūn h uáng sh í k ū
敦睦	d ūn m ù
敦聘	d ūn p ìn
敦诗说礼	d ūn sh ī sh uō l ǐ
敦请	d ūn q ǐng
敦风厉俗	d ūn f ēng l ì s ú
敦默寡言	d ūn m ò g uǎ y án
敧	j ī
敨	t ǒu
敩	x iào
敩学相长	x iào x ué x iāng ch áng
敪	d uō
敫	j iǎo
敬	j ìng
敬上接下	j ìng sh àng j iē x ià
敬上爱下	j ìng sh àng ài x ià
敬业乐群	j ìng y è l è q ún
敬事不暇	j ìng sh ì b ù x iá
敬事后食	j ìng sh ì h òu sh í
敬仰	j ìng y ǎng
敬候	j ìng h òu
敬如上宾	j ìng r ú sh àng b īn
敬服	j ìng f ú
敬老慈少	j ìng l ǎo c í sh ǎo
敬而远之	j ìng ér y uǎn zh ī
敬若神明	j ìng r uò sh én m íng
敬语	j ìng y ǔ
敬谢不敏	j ìng x iè b ù m ǐn
敬贤重士	j ìng x ián zh òng sh ì
敬酒不吃吃罚酒	j ìng j iǔ b ù ch ī ch ī f á j iǔ
敬重	j ìng zh òng
敬陈管见	j ìng ch én g uǎn j iàn
敬鬼神而远之	j ìng g uǐ sh én ér y uǎn zh ī
敭	y áng
敮	x iá
敯	m ǐn
数	sh ù
数一数二	sh ǔ y ī sh ǔ èr
数不清	sh ǔ b ù q īng
数不着	sh ǔ b ù zh áo
数不胜数	sh ǔ b ù sh èng sh ǔ
数九	sh ǔ j iǔ
数九寒天	sh ǔ j iǔ h án t iān
数以万计	sh ǔ y ǐ w àn j ì
数位	sh ù w èi
数值	sh ù zh í
数典忘祖	sh ǔ d iǎn w àng z ǔ
数列	sh ù l iè
数制	sh ù zh ì
数叨	sh ù d āo
数字	sh ù z ì
数学	sh ù x ué
数年如一日	sh ù n ián r ú y í r ì
数往知来	sh ǔ w ǎng zh ī l ái
数得上	sh ǔ d e sh àng
数得着	sh ǔ d e zh áo
数据	sh ù j ù
数据库	sh ù j ù k ù
数数	sh ǔ sh ù
数来宝	sh ǔ l ái b ǎo
数珠	sh ù zh ū
数理统计	sh ù l ǐ t ǒng j ì
数白论黄	sh ǔ b ái l ùn h uáng
数目	sh ù m ù
数目字	sh ù m ù z ì
数短论长	sh ǔ d uǎn l ùn ch áng
数码	sh ù m ǎ
数米而炊	sh ǔ m ǐ ér ch uī
数米量柴	sh ǔ m ǐ l iáng ch ái
数罪并罚	sh ù z uì b ìng f á
数落	sh ǔ l uò
数表	sh ù b iǎo
数见不鲜	sh uò j iàn b ù x iān
数论	sh ù l ùn
数词	sh ù c í
数说	sh ǔ sh uō
数量	sh ù l iàng
数量词	sh ù l iàng c í
数额	sh ù é
数黄道白	sh ù h uáng d ào b ái
数黄道黑	sh ǔ h uáng d ào h ēi
数黑论白	sh ù h ēi l ùn b ái
数黑论黄	sh ǔ h ēi l ùn h uáng
敱	ái
敲	q iāo
敲打	q iāo d ǎ
敲敲打打	q iāo q iāo d ǎ d ǎ
敲榨勒索	q iāo zh à l è s uǒ
敲竹杠	q iāo zh ú g àng
敲膏吸髓	q iāo g āo x ī s uǐ
敲诈勒索	q iāo zh à l è s uǒ
敲金击石	q iāo j īn j ī sh í
敲锣打鼓	q iāo l uó d ǎ g ǔ
敲锣放炮	q iāo l uó f àng p ào
敲骨剥髓	q iāo g ǔ b āo s uǐ
敲骨取髓	q iāo g ǔ q ǔ s uǐ
敲骨吸髓	q iāo g ǔ x ī s uǐ
敲骨榨髓	q iāo g ǔ zh à s uǐ
敲髓洒膏	q iāo s uǐ s ǎ g āo
敳	ái
整	zh ěng
整个	zh ěng g è
整体	zh ěng t ǐ
整冠纳履	zh ěng g uān n à l ǚ
整地	zh ěng d ì
整垮	zh ěng k uǎ
整复	zh ěng f ù
整宿	zh ěng s ù
整年累月	zh ěng n ián l èi y uè
整数	zh ěng sh ù
整整齐齐	zh ěng zh ěng q í q í
整旅厉卒	zh ěng l ǚ l ì z ú
整月	zh ěng y uè
整本大套	zh ěng b ěn d à t ào
整机	zh ěng j ī
整枝	zh ěng zh ī
整版	zh ěng b ǎn
整纪	zh ěng j ì
整装待发	zh ěng zh uāng d ài f ā
整躬率物	zh ěng g ōng sh uài w ù
整顿干坤	zh ěng d ùn g àn k ūn
整风	zh ěng f ēng
整齐	zh ěng q í
敵	d í
敶	zh èn
敷	f ū
敷用	f ū y òng
敷药	f ū y ào
敷衍了事	f ū y ǎn l iǎo sh ì
敷衍塞责	f ū y ǎn s è z é
敷衍搪塞	f ū y ǎn t áng s è
數	sh ù
敹	l iáo
敺	q ū
敼	y ǐ
敽	j iǎo
敾	sh àn
敿	j iǎo
斀	zh uó
斁	y ì
斂	l iǎn
斃	b ì
斄	l í
斅	x iào
斆	x iào
文	w én
文不加点	w én b ù j iā d iǎn
文不对题	w én b ù d uì t í
文丝不动	w én s ī b ù d òng
文人无行	w én r én w ú x íng
文人相轻	w én r én x iāng q īng
